timestamp,open,high,low,close,volume,Principal Component 1,Principal Component 2
2024-11-13,224.0100,226.6500,222.7600,225.1200,48566217,6.229052819,0.100839578
2024-11-12,224.5500,225.5900,223.3550,224.2300,40398299,6.229052819,0.100839578
2024-11-11,225.0000,225.7000,221.5000,224.2300,42005602,6.229052819,0.100839578
2024-11-08,227.1700,228.6600,226.4050,226.9600,38328824,6.229052819,0.100839578
2024-11-07,224.6250,227.8750,224.5700,227.4800,42137691,6.229052819,0.100839578
2024-11-06,222.6100,226.0650,221.1900,222.7200,54561121,6.229052819,0.100839578
2024-11-05,221.7950,223.9500,221.1400,223.4500,28111338,6.229052819,0.100839578
2024-11-04,220.9900,222.7900,219.7100,222.0100,44944468,6.229052819,0.100839578
2024-11-01,220.9650,225.3500,220.2700,222.9100,65276741,6.229052819,0.100839578
2024-10-31,229.3400,229.8300,225.3700,225.9100,64370086,6.229052819,0.100839578
2024-10-30,232.6100,233.4700,229.5500,230.1000,47070907,6.229052819,0.100839578
2024-10-29,233.1000,234.3250,232.3200,233.6700,35417247,6.229052819,0.100839578
2024-10-28,233.3200,234.7300,232.5500,233.4000,36087134,6.229052819,0.100839578
2024-10-25,229.7400,233.2200,229.5700,231.4100,38802304,6.229052819,0.100839578
2024-10-24,229.9800,230.8200,228.4100,230.5700,31109503,6.229052819,0.100839578
2024-10-23,234.0800,235.1440,227.7600,230.7600,52286979,6.229052819,0.100839578
2024-10-22,233.8850,236.2200,232.6000,235.8600,38846578,6.229052819,0.100839578
2024-10-21,234.4500,236.8500,234.4500,236.4800,36254470,6.229052819,0.100839578
2024-10-18,236.1800,236.1800,234.0100,235.0000,46431472,6.229052819,0.100839578
2024-10-17,233.4300,233.8500,230.5200,232.1500,32993810,6.229052819,0.100839578
2024-10-16,231.6000,232.1200,229.8400,231.7800,34082240,6.229052819,0.100839578
2024-10-15,233.6100,237.4900,232.3700,233.8500,64751367,6.229052819,0.100839578
2024-10-14,228.7000,231.7300,228.6000,231.3000,39882085,6.229052819,0.100839578
2024-10-11,229.3000,229.4100,227.3400,227.5500,31759188,6.229052819,0.100839578
2024-10-10,227.7800,229.5000,227.1700,229.0400,28183544,6.229052819,0.100839578
2024-10-09,225.2300,229.7500,224.8300,229.5400,33591091,6.229052819,0.100839578
2024-10-08,224.3000,225.9800,223.2500,225.7700,31855693,6.229052819,0.100839578
2024-10-07,224.5000,225.6900,221.3300,221.6900,39505354,6.229052819,0.100839578
2024-10-04,227.9000,228.0000,224.1300,226.8000,37345098,6.229052819,0.100839578
2024-10-03,225.1400,226.8050,223.3200,225.6700,34044158,6.229052819,0.100839578
2024-10-02,225.8900,227.3700,223.0200,226.7800,32880605,6.229052819,0.100839578
2024-10-01,229.5200,229.6500,223.7400,226.2100,63285048,6.229052819,0.100839578
2024-09-30,230.0400,233.0000,229.6500,233.0000,54793391,6.229052819,0.100839578
2024-09-28,None,None,None,None,None,6.229052819,0.100839578
2024-09-27,228.4600,229.5200,227.3000,227.7900,34025967,5.396861566,-0.505295202
2024-09-26,227.3000,228.5000,225.4100,227.5200,36636707,5.396861566,-0.505295202
2024-09-25,224.9300,227.2900,224.0200,226.3700,42308715,5.396861566,-0.505295202
2024-09-24,228.6450,229.3500,225.7300,227.3700,43556068,5.396861566,-0.505295202
2024-09-23,227.3400,229.4500,225.8100,226.4700,54146023,5.396861566,-0.505295202
2024-09-20,229.9700,233.0900,227.6200,228.2000,318679888,5.396861566,-0.505295202
2024-09-19,224.9900,229.8200,224.6300,228.8700,66781315,5.396861566,-0.505295202
2024-09-18,217.5500,222.7100,217.5400,220.6900,59894928,5.396861566,-0.505295202
2024-09-17,215.7500,216.9000,214.5000,216.7900,45519339,5.396861566,-0.505295202
2024-09-16,216.5400,217.2200,213.9200,216.3200,59357427,5.396861566,-0.505295202
2024-09-13,223.5800,224.0400,221.9100,222.5000,36766619,5.396861566,-0.505295202
2024-09-12,222.5000,223.5500,219.8200,222.7700,37498225,5.396861566,-0.505295202
2024-09-11,221.4550,223.0900,217.8900,222.6600,44587072,5.396861566,-0.505295202
2024-09-10,218.9200,221.4800,216.7300,220.1100,51591033,5.396861566,-0.505295202
2024-09-09,220.8200,221.2700,216.7100,220.9100,67179965,5.396861566,-0.505295202
2024-09-06,223.9500,225.2400,219.7700,220.8200,48423011,5.396861566,-0.505295202
2024-09-05,221.6250,225.4800,221.5200,222.3800,36615398,5.396861566,-0.505295202
2024-09-04,221.6600,221.7800,217.4800,220.8500,43262758,5.396861566,-0.505295202
2024-09-03,228.5500,229.0000,221.1700,222.7700,50190574,5.396861566,-0.505295202
2024-08-30,230.1900,230.4000,227.4800,229.0000,52990770,5.396861566,-0.505295202
2024-08-29,230.1000,232.9200,228.8800,229.7900,51906297,5.396861566,-0.505295202
2024-08-28,227.9200,229.8600,225.6800,226.4900,38052167,5.396861566,-0.505295202
2024-08-27,225.9950,228.8500,224.8900,228.0300,35934559,5.396861566,-0.505295202
2024-08-26,226.7600,227.2800,223.8905,227.1800,30602208,5.396861566,-0.505295202
2024-08-23,225.6589,228.2200,224.3300,226.8400,38677250,5.396861566,-0.505295202
2024-08-22,227.7900,228.3400,223.9000,224.5300,43695321,5.396861566,-0.505295202
2024-08-21,226.5200,227.9800,225.0500,226.4000,34765480,5.396861566,-0.505295202
2024-08-20,225.7700,227.1700,225.4500,226.5100,30299033,5.396861566,-0.505295202
2024-08-19,225.7200,225.9900,223.0400,225.8900,40687813,5.396861566,-0.505295202
2024-08-16,223.9200,226.8271,223.6501,226.0500,44340240,5.396861566,-0.505295202
2024-08-15,224.6000,225.3500,222.7600,224.7200,46414013,5.396861566,-0.505295202
2024-08-14,220.5700,223.0300,219.7000,221.7200,41960574,5.396861566,-0.505295202
2024-08-13,219.0100,221.8900,219.0100,221.2700,44155331,5.396861566,-0.505295202
2024-08-12,216.0700,219.5099,215.6000,217.5300,38028092,5.396861566,-0.505295202
2024-08-09,212.1000,216.7800,211.9700,216.2400,42201646,5.396861566,-0.505295202
2024-08-08,213.1100,214.2000,208.8300,213.3100,47161149,5.396861566,-0.505295202
2024-08-07,206.9000,213.6400,206.3900,209.8200,63516417,5.396861566,-0.505295202
2024-08-06,205.3000,209.9900,201.0700,207.2300,69660488,5.396861566,-0.505295202
2024-08-05,199.0900,213.5000,196.0000,209.2700,119548589,5.396861566,-0.505295202
2024-08-02,219.1500,225.6000,217.7100,219.8600,105568560,5.396861566,-0.505295202
2024-08-01,224.3700,224.4800,217.0200,218.3600,62500996,5.396861566,-0.505295202
2024-07-31,221.4400,223.8200,220.6300,222.0800,50036262,5.396861566,-0.505295202
2024-07-30,219.1900,220.3250,216.1200,218.8000,41643840,5.396861566,-0.505295202
2024-07-29,216.9600,219.3000,215.7500,218.2400,36311778,5.396861566,-0.505295202
2024-07-26,218.7000,219.4900,216.0100,217.9600,41601345,5.396861566,-0.505295202
2024-07-25,218.9300,220.8500,214.6200,217.4900,51391199,5.396861566,-0.505295202
2024-07-24,224.0000,224.8000,217.1300,218.5400,61777576,5.396861566,-0.505295202
2024-07-23,224.3650,226.9400,222.6800,225.0100,39960260,5.396861566,-0.505295202
2024-07-22,227.0100,227.7800,223.0900,223.9600,48201835,5.396861566,-0.505295202
2024-07-19,224.8200,226.8000,223.2750,224.3100,49151453,5.396861566,-0.505295202
2024-07-18,230.2800,230.4400,222.2700,224.1800,66034585,5.396861566,-0.505295202
2024-07-17,229.4500,231.4599,226.6400,228.8800,57345884,5.396861566,-0.505295202
2024-07-16,235.0000,236.2700,232.3300,234.8200,43234278,5.396861566,-0.505295202
2024-07-15,236.4800,237.2300,233.0900,234.4000,62631252,5.396861566,-0.505295202
2024-07-12,228.9200,232.6400,228.6800,230.5400,53046527,5.396861566,-0.505295202
2024-07-11,231.3900,232.3900,225.7700,227.5700,64710617,5.396861566,-0.505295202
2024-07-10,229.3000,233.0800,229.2500,232.9800,62627687,5.396861566,-0.505295202
2024-07-09,227.9300,229.4000,226.3721,228.6800,48169822,5.396861566,-0.505295202
2024-07-08,227.0900,227.8500,223.2500,227.8200,59085861,5.396861566,-0.505295202
2024-07-05,221.6500,226.4500,221.6500,226.3400,60412408,5.396861566,-0.505295202
2024-07-03,220.0000,221.5500,219.0300,221.5500,37369801,5.396861566,-0.505295202
2024-07-02,216.1500,220.3800,215.1000,220.2700,58046178,5.396861566,-0.505295202
2024-07-01,212.0900,217.5100,211.9200,216.7500,60402929,5.396861566,-0.505295202
2024-06-29,None,None,None,None,None,5.396861566,-0.505295202
2024-06-28,215.7700,216.0700,210.3000,210.6200,82542718,3.818401515,-0.848552627
2024-06-27,214.6900,215.7395,212.3500,214.1000,49772707,3.818401515,-0.848552627
2024-06-26,211.5000,214.8600,210.6400,213.2500,66213186,3.818401515,-0.848552627
2024-06-25,209.1500,211.3800,208.6100,209.0700,56713868,3.818401515,-0.848552627
2024-06-24,207.7200,212.7000,206.5900,208.1400,80727006,3.818401515,-0.848552627
2024-06-21,210.3900,211.8900,207.1100,207.4900,246421353,3.818401515,-0.848552627
2024-06-20,213.9300,214.2400,208.8500,209.6800,86172451,3.818401515,-0.848552627
2024-06-18,217.5900,218.6300,213.0000,214.2900,79943254,3.818401515,-0.848552627
2024-06-17,213.3700,218.9500,212.7200,216.6700,93728300,3.818401515,-0.848552627
2024-06-14,213.8500,215.1700,211.3000,212.4900,70122748,3.818401515,-0.848552627
2024-06-13,214.7400,216.7500,211.6000,214.2400,97862729,3.818401515,-0.848552627
2024-06-12,207.3700,220.2000,206.9000,213.0700,198134293,3.818401515,-0.848552627
2024-06-11,193.6500,207.1600,193.6300,207.1500,172373296,3.818401515,-0.848552627
2024-06-10,196.9000,197.3000,192.1500,193.1200,97262077,3.818401515,-0.848552627
2024-06-07,194.6500,196.9400,194.1400,196.8900,53103912,3.818401515,-0.848552627
2024-06-06,195.6850,196.5000,194.1700,194.4800,41181753,3.818401515,-0.848552627
2024-06-05,195.4000,196.9000,194.8700,195.8700,54156785,3.818401515,-0.848552627
2024-06-04,194.6350,195.3200,193.0342,194.3500,47471445,3.818401515,-0.848552627
2024-06-03,192.9000,194.9900,192.5200,194.0300,50080539,3.818401515,-0.848552627
2024-05-31,191.4400,192.5700,189.9100,192.2500,75158277,3.818401515,-0.848552627
2024-05-30,190.7600,192.1800,190.6300,191.2900,49947941,3.818401515,-0.848552627
2024-05-29,189.6100,192.2470,189.5100,190.2900,53068016,3.818401515,-0.848552627
2024-05-28,191.5100,193.0000,189.1000,189.9900,52280051,3.818401515,-0.848552627
2024-05-24,188.8200,190.5800,188.0404,189.9800,36326975,3.818401515,-0.848552627
2024-05-23,190.9800,191.0000,186.6250,186.8800,51005924,3.818401515,-0.848552627
2024-05-22,192.2650,192.8231,190.2700,190.9000,34648547,3.818401515,-0.848552627
2024-05-21,191.0900,192.7300,190.9201,192.3500,42309401,3.818401515,-0.848552627
2024-05-20,189.3250,191.9199,189.0100,191.0400,44361275,3.818401515,-0.848552627
2024-05-17,189.5100,190.8100,189.1800,189.8700,41282925,3.818401515,-0.848552627
2024-05-16,190.4700,191.0950,189.6601,189.8400,52845230,3.818401515,-0.848552627
2024-05-15,187.9100,190.6500,187.3700,189.7200,70399988,3.818401515,-0.848552627
2024-05-14,187.5100,188.3000,186.2900,187.4300,52393619,3.818401515,-0.848552627
2024-05-13,185.4350,187.1000,184.6200,186.2800,72044809,3.818401515,-0.848552627
2024-05-10,184.9000,185.0900,182.1300,183.0500,50759496,3.818401515,-0.848552627
2024-05-09,182.5600,184.6600,182.1100,184.5700,48982972,3.818401515,-0.848552627
2024-05-08,182.8500,183.0700,181.4500,182.7400,45057087,3.818401515,-0.848552627
2024-05-07,183.4500,184.9000,181.3200,182.4000,77305771,3.818401515,-0.848552627
2024-05-06,182.3540,184.2000,180.4200,181.7100,78569667,3.818401515,-0.848552627
2024-05-03,186.6450,187.0000,182.6600,183.3800,163224109,3.818401515,-0.848552627
2024-05-02,172.5100,173.4150,170.8900,173.0300,94214915,3.818401515,-0.848552627
2024-05-01,169.5800,172.7050,169.1100,169.3000,50383147,3.818401515,-0.848552627
2024-04-30,173.3300,174.9900,170.0000,170.3300,65934776,3.818401515,-0.848552627
2024-04-29,173.3700,176.0300,173.1000,173.5000,68169419,3.818401515,-0.848552627
2024-04-26,169.8800,171.3400,169.1800,169.3000,44838354,3.818401515,-0.848552627
2024-04-25,169.5250,170.6100,168.1511,169.8900,50558329,3.818401515,-0.848552627
2024-04-24,166.5400,169.3000,166.2100,169.0200,48251835,3.818401515,-0.848552627
2024-04-23,165.3500,167.0500,164.9200,166.9000,49537761,3.818401515,-0.848552627
2024-04-22,165.5150,167.2600,164.7700,165.8400,48116443,3.818401515,-0.848552627
2024-04-19,166.2100,166.4000,164.0750,165.0000,68149377,3.818401515,-0.848552627
2024-04-18,168.0300,168.6400,166.5500,167.0400,43122903,3.818401515,-0.848552627
2024-04-17,169.6100,170.6500,168.0000,168.0000,50901210,3.818401515,-0.848552627
2024-04-16,171.7500,173.7600,168.2700,169.3800,73711235,3.818401515,-0.848552627
2024-04-15,175.3600,176.6300,172.5000,172.6900,73531773,3.818401515,-0.848552627
2024-04-12,174.2600,178.3600,174.2100,176.5500,101670886,3.818401515,-0.848552627
2024-04-11,168.3400,175.4600,168.1600,175.0400,91070275,3.818401515,-0.848552627
2024-04-10,168.8000,169.0900,167.1100,167.7800,49709336,3.818401515,-0.848552627
2024-04-09,168.7000,170.0800,168.3500,169.6700,42231444,3.818401515,-0.848552627
2024-04-08,169.0300,169.2000,168.2400,168.4500,37216858,3.818401515,-0.848552627
2024-04-05,169.5900,170.3900,168.9500,169.5800,41975776,3.818401515,-0.848552627
2024-04-04,170.2900,171.9200,168.8200,168.8200,53355055,3.818401515,-0.848552627
2024-04-03,168.7900,170.6800,168.5800,169.6500,45571129,3.818401515,-0.848552627
2024-04-02,169.0800,169.3400,168.2302,168.8400,49013991,3.818401515,-0.848552627
