,Principal Component 1,Principal Component 2
2024-09-30,3.4080471380656308,6.724785467506918
2024-06-30,2.309821364201407,2.6125561786973166
2024-03-31,2.6328604082004485,3.982798676142542
2023-12-31,1.3166298444233981,1.6378738435202285
2023-09-30,2.6945945617680724,-0.07653787582003468
2023-06-30,2.389387679010331,-0.9593557419465674
2023-03-31,2.2954156331193185,-0.7486344417546588
2022-12-31,4.686491467784323,0.5104395324182949
2022-09-30,2.892585565568141,-1.201813228207134
2022-06-30,2.506077215388675,0.9839735832913287
2022-03-31,1.9846342703467912,-0.6380288335942131
2021-12-31,2.160111294611851,-0.6932258656746738
2021-09-30,3.2142200573493684,-0.4460222095083635
2021-06-30,3.030555210219376,-0.1914139337600425
2021-03-31,2.1415951504670208,-1.6183448618776222
2020-12-31,1.2932215797913016,-2.804674562111074
2020-09-30,0.761387596713957,-2.930218389451279
2020-06-30,0.7827464168844469,-2.9169983621807627
2020-03-31,0.5676107822293188,-3.744022146239408
2019-12-31,0.6486929191835983,-1.2259035820127957
2019-09-30,-0.8379422327135002,-1.1127355198091902
2019-06-30,-3.794668935408392,-2.734962964861853
2019-03-31,-2.242457835945253,-1.6232249559679355
2018-12-31,-2.040388223227996,-3.749905565053592
2018-09-30,-0.7087020765781467,-0.5759733780310774
2018-06-30,-1.1521161196108336,-1.4078958951798615
2018-03-31,-1.4239033097786065,-0.6137652769475189
2017-12-31,-1.33470614577783,-0.38819876112081947
2017-09-30,-1.7564527745241871,-0.2597726417710955
2017-06-30,-1.1650855291221727,0.6243388515261125
2017-03-31,-0.4039068451630146,2.64796280549668
2016-12-31,-0.8141830039043461,1.8174785737045724
2016-09-30,-1.2967024887336638,0.9271528215747644
2016-06-30,-2.179195980681501,0.1538341922540489
2016-03-31,-2.7643018669110173,0.03538024737185818
2015-12-31,-2.3652855722940833,-0.5035251546037036
2015-09-30,-2.60720502923103,0.09306654294794738
2015-06-30,-2.0335229561717383,1.7370583147257161
2015-03-31,-3.5831946240668433,1.7279194900010293
2014-12-31,-4.535556836576643,1.773909560268898
2014-09-30,-4.6772077689059675,5.174625466037018
