,Principal Component 1,Principal Component 2
2024-09-30,-4.198324083698935,6.526172247601413
2024-06-30,-3.6510453688585014,5.327722984526085
2024-03-31,-3.1335939890521085,5.251257352684387
2023-12-31,-2.5723815486259105,1.551875397828807
2023-09-30,-2.6783976762451114,0.29601552732940706
2023-06-30,-2.4554320153958504,-0.03669436654228762
2023-03-31,-2.8225895990382326,-1.7218572453933128
2022-12-31,-3.6811189921694543,-3.7810559971094495
2022-09-30,-3.9443206051298603,-3.558464259083659
2022-06-30,-3.857541670852321,-3.225765080757502
2022-03-31,-3.5066620827397785,-1.912659766360526
2021-12-31,-2.610531675455183,0.5851705700544495
2021-09-30,-1.8641118080062642,0.8304484446583913
2021-06-30,-1.140610840422649,1.2659423023055314
2021-03-31,-0.5321241307508853,0.9330384189649937
2020-12-31,-0.5564503786118801,0.34600349802950464
2020-09-30,-0.06481128100776931,0.6191217338078125
2020-06-30,-0.3320382978909569,-0.21781879893455447
2020-03-31,-1.3745382083477211,-1.6874544914780707
2019-12-31,-0.7684657945317492,-0.3343726647801685
2019-09-30,-1.081255534899744,-1.1913264484797168
2019-06-30,-0.7900867722802523,-0.782900821159984
2019-03-31,-1.0660430668422627,-1.2575648580509262
2018-12-31,-1.1988076265991596,-2.3336776458970205
2018-09-30,-0.18462711468996712,-1.2343123152291657
2018-06-30,0.7770741193366472,-0.09908596887802064
2018-03-31,0.3809594198009671,-0.9842085425959882
2017-12-31,1.6056330226223423,-0.0034399196946037474
2017-09-30,1.956919605802913,-0.03131525521357567
2017-06-30,1.8622186365317528,-0.32256650237803375
2017-03-31,2.1567625422906977,-0.37816377300489057
2016-12-31,1.9776915719282953,-1.048475460656466
2016-09-30,2.6511540351214746,-0.1248477406855123
2016-06-30,2.956438819676126,-0.3891648824192437
2016-03-31,3.869977324323248,0.001963754693809577
2015-12-31,3.9762101164246664,-0.05062363077467288
2015-09-30,4.883843564100025,0.043783611439592085
2015-06-30,4.928393535402306,0.31047191005945235
2015-03-31,4.840243155377639,0.4041966252677893
2014-12-31,5.0653942381735035,0.5115411005955411
2014-09-30,6.1769964552299035,1.903090955710389
