,Principal Component 1,Principal Component 2
2024-09-30,5.186545637696387,-0.8638956260779804
2024-06-30,5.603260917902454,-0.7466925857986981
2024-03-31,5.436848142484316,-0.3739030283652209
2023-12-31,4.817420421629872,-0.2691566910023128
2023-09-30,3.242605473068919,-0.5865308834540868
2023-06-30,4.095241408346672,-0.36638786669239204
2023-03-31,2.6400938812241526,-1.6034274859244204
2022-12-31,1.3185534226683668,-2.613894635233087
2022-09-30,1.3012019942679447,-2.571688220761895
2022-06-30,2.1401508352278418,-2.0832984181865744
2022-03-31,3.553528886617803,-0.34590186872020406
2021-12-31,4.307770413529559,0.9196076440336444
2021-09-30,3.0942871347788596,-0.014330066005467348
2021-06-30,3.111973876793544,0.15757933761302137
2021-03-31,2.247010603561017,0.6513623782916819
2020-12-31,1.8380799314762486,0.9564113545845455
2020-09-30,1.678280966473869,1.2325619013663458
2020-06-30,1.6858466114185007,1.373711360963188
2020-03-31,-0.005481418085318031,0.8118070535406661
2019-12-31,0.3095019112748503,1.3941753879460241
2019-09-30,-0.32865375281854875,0.633078985211344
2019-06-30,-0.06302339316564373,0.7070820791397917
2019-03-31,-0.961260488936806,1.1249203792012923
2018-12-31,-1.194805870868775,1.3237305009648275
2018-09-30,-0.7082531628110253,3.1552511632237934
2018-06-30,-1.3993592016082999,2.8072628260239934
2018-03-31,-2.1551313237255774,3.330651425607473
2017-12-31,-2.3923703789484,2.5780116287299886
2017-09-30,-3.1730396619600674,0.9189233818097589
2017-06-30,-3.4451336265504997,0.5221352284661221
2017-03-31,-3.721503709938769,-0.03401761133070116
2016-12-31,-3.5627535847045615,-1.3619783167104353
2016-09-30,-4.035550579990683,-0.40464698570657515
2016-06-30,-3.8691280200580804,-1.7881740087689721
2016-03-31,-3.9028664006828984,0.31571075552480043
2015-12-31,-3.8766809252844388,-0.1130377172771447
2015-09-30,-4.486347945609678,-2.2890594481938242
2015-06-30,-3.8383206389426383,-1.7010531508934823
2015-03-31,-4.384750590040192,-1.9724259428841644
2014-12-31,-3.1718717163016055,-1.601756654729837
2014-09-30,-2.9319160794086816,-1.2087175595248212
